iter	Passed	Remaining
0	1	131
1	2	123
2	3	116
3	4	110
4	5	106
5	6	103
6	7	99
7	8	96
8	9	94
9	10	93
10	11	93
11	12	92
12	13	90
13	14	90
14	16	90
15	17	90
16	18	90
17	19	89
18	20	88
19	21	87
20	22	85
21	23	84
22	24	82
23	25	81
24	26	80
25	27	78
26	28	77
27	29	76
28	30	75
29	31	73
30	32	72
31	33	71
32	34	70
33	35	69
34	36	68
35	37	67
36	38	66
37	39	64
38	40	63
39	41	62
40	42	61
41	44	60
42	45	59
43	45	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	46
56	59	45
57	60	44
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	80	21
79	81	20
80	82	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	101	2
98	102	1
99	103	0
