iter	Passed	Remaining
0	141	141529
1	143	71623
2	144	48142
3	146	36354
4	147	29296
5	148	24605
6	149	21240
7	150	18711
8	153	16851
9	154	15294
10	155	14010
11	157	12935
12	158	12014
13	159	11226
14	160	10545
15	161	9950
16	163	9431
17	164	8962
18	165	8562
19	167	8185
20	168	7842
21	169	7530
22	170	7241
23	171	6993
24	173	6757
25	174	6551
26	176	6352
27	177	6168
28	178	5985
29	180	5821
30	181	5664
31	182	5517
32	183	5381
33	184	5245
34	186	5138
35	187	5025
36	189	4925
37	190	4826
38	191	4727
39	193	4634
40	194	4552
41	196	4473
42	197	4394
43	198	4319
44	200	4244
45	201	4172
46	202	4103
47	203	4036
48	204	3972
49	205	3910
50	207	3852
51	208	3799
52	209	3746
53	210	3693
54	211	3641
55	213	3591
56	214	3544
57	215	3500
58	216	3455
59	217	3413
60	219	3372
61	220	3334
62	221	3294
63	222	3258
64	223	3221
65	225	3186
66	226	3151
67	227	3116
68	228	3087
69	229	3054
70	231	3023
71	232	2993
72	233	2964
73	234	2934
74	235	2904
75	236	2879
76	237	2852
77	239	2827
78	240	2800
79	241	2776
80	242	2750
81	243	2726
82	244	2696
83	245	2674
84	246	2653
85	247	2631
86	248	2610
87	249	2590
88	251	2571
89	252	2552
90	253	2533
91	254	2515
92	256	2498
93	257	2479
94	258	2461
95	259	2442
96	260	2424
97	261	2407
98	262	2390
99	263	2375
100	265	2358
101	266	2342
102	267	2327
103	268	2311
104	269	2296
105	270	2281
106	271	2267
107	272	2252
108	273	2238
109	274	2223
110	275	2209
111	277	2197
112	278	2184
113	279	2172
114	280	2159
115	281	2148
116	282	2135
117	284	2123
118	285	2111
119	286	2099
120	287	2087
121	288	2074
122	289	2063
123	290	2051
124	291	2040
125	292	2030
126	293	2019
127	295	2010
128	296	1999
129	297	1989
130	298	1979
131	299	1969
132	300	1959
133	301	1949
134	302	1940
135	303	1930
136	304	1920
137	306	1911
138	307	1904
139	308	1898
140	310	1890
141	311	1880
142	312	1870
143	313	1862
144	314	1855
145	315	1847
146	316	1839
147	318	1830
148	319	1822
149	320	1815
150	321	1807
151	322	1799
152	323	1792
153	324	1784
154	326	1777
155	327	1770
156	328	1763
157	329	1755
158	330	1747
159	331	1740
160	332	1731
161	333	1724
162	334	1718
163	335	1712
164	337	1706
165	338	1700
166	339	1693
167	340	1687
168	342	1681
169	343	1677
170	344	1671
171	345	1664
172	346	1657
173	347	1651
174	349	1645
175	350	1639
176	351	1633
177	352	1627
178	353	1622
179	354	1616
180	356	1611
181	357	1605
182	358	1599
183	359	1593
184	360	1586
185	361	1581
186	362	1576
187	363	1570
188	364	1565
189	365	1559
190	367	1555
191	368	1550
192	369	1545
193	370	1540
194	371	1535
195	373	1530
196	374	1524
197	375	1520
198	376	1515
199	377	1509
200	378	1505
201	379	1500
202	381	1496
203	382	1491
204	383	1487
205	384	1483
206	386	1478
207	387	1474
208	388	1469
209	389	1465
210	390	1461
211	392	1457
212	393	1452
213	394	1448
214	395	1443
215	397	1441
216	398	1437
217	399	1432
218	400	1428
219	401	1423
220	402	1419
221	403	1414
222	404	1410
223	405	1406
224	406	1401
225	408	1397
226	409	1393
227	410	1390
228	411	1386
229	412	1382
230	414	1378
231	415	1374
232	416	1371
233	417	1368
234	419	1364
235	420	1360
236	421	1356
237	422	1352
238	423	1348
239	424	1344
240	425	1340
241	426	1337
242	428	1333
243	429	1330
244	430	1326
245	431	1323
